Team_i,Team_j,home_i,home_j,score_i,score_j,year
china,thailand,0,0,4,0,2018
jordan,philippines,1,0,1,2,2018
philippines,china,0,0,0,3,2018
thailand,jordan,0,1,6,1,2018
jordan,china,1,0,1,8,2018
thailand,philippines,0,0,3,1,2018
japan,vietnam,0,0,4,0,2018
australia,south korea,0,0,0,0,2018
south korea,japan,0,0,0,0,2018
vietnam,australia,0,0,0,8,2018
japan,australia,0,0,1,1,2018
south korea,vietnam,0,0,4,0,2018
philippines,south korea,0,0,0,5,2018
australia,thailand,0,0,2,2,2018
china,japan,0,0,1,3,2018
china,thailand,0,0,3,1,2018
japan,australia,0,0,1,0,2018
ghana,algeria,1,0,1,0,2018
mali,cameroon,0,0,1,2,2018
ghana,mali,1,0,1,2,2018
cameroon,algeria,0,0,3,0,2018
cameroon,ghana,0,1,1,1,2018
algeria,mali,0,0,2,3,2018
nigeria,south africa,0,0,0,1,2018
zambia,equatorial guinea,0,0,5,0,2018
nigeria,zambia,0,0,4,0,2018
equatorial guinea,south africa,0,0,1,7,2018
equatorial guinea,nigeria,0,0,0,6,2018
south africa,zambia,0,0,1,1,2018
cameroon,nigeria,0,0,0,0,2018
south africa,mali,0,0,2,0,2018
cameroon,mali,0,0,4,2,2018
nigeria,south africa,0,0,0,0,2018
trinidad,panama,0,0,0,3,2018
united states,mexico,1,0,6,0,2018
panama,united states,0,1,0,5,2018
mexico,trinidad,0,0,4,1,2018
panama,mexico,0,0,2,0,2018
trinidad,united states,0,1,0,7,2018
costa rica,cuba,0,0,8,0,2018
canada,jamaica,0,0,2,0,2018
jamaica,costa rica,0,0,1,0,2018
cuba,canada,0,0,0,12,2018
cuba,jamaica,0,0,0,9,2018
costa rica,canada,0,0,1,3,2018
panama,canada,0,0,0,7,2018
united states,jamaica,1,0,6,0,2018
panama,jamaica,0,0,2,2,2018
canada,united states,0,1,0,2,2018
colombia,uruguay,0,0,7,0,2018
chile,paraguay,1,0,1,1,2018
paraguay,peru,0,0,3,0,2018
chile,colombia,1,0,1,1,2018
uruguay,peru,0,0,1,1,2018
colombia,paraguay,0,0,5,1,2018
colombia,peru,0,0,3,0,2018
chile,uruguay,1,0,1,0,2018
paraguay,uruguay,0,0,2,1,2018
peru,chile,0,1,0,5,2018
ecuador,venezuela,0,0,0,1,2018
brazil,argentina,0,0,3,1,2018
argentina,bolivia,0,0,3,0,2018
brazil,ecuador,0,0,8,0,2018
venezuela,bolivia,0,0,8,0,2018
ecuador,argentina,0,0,3,6,2018
ecuador,bolivia,0,0,0,1,2018
brazil,venezuela,0,0,4,0,2018
argentina,venezuela,0,0,2,0,2018
bolivia,brazil,0,0,0,7,2018
colombia,argentina,0,0,1,3,2018
brazil,chile,0,1,3,1,2018
brazil,argentina,0,0,3,0,2018
colombia,chile,0,1,0,0,2018
chile,argentina,1,0,4,0,2018
brazil,colombia,0,0,3,0,2018
samoa,papua new guinea,0,0,0,5,2018
tahiti,new caledonia,0,1,2,4,2018
tahiti,samoa,0,0,5,5,2018
new caledonia,papua new guinea,1,0,2,6,2018
papua new guinea,tahiti,0,0,3,1,2018
new caledonia,samoa,1,0,2,0,2018
new zealand,tonga,0,0,11,0,2018
cook islands,fiji,0,0,0,3,2018
tonga,fiji,0,0,0,12,2018
new zealand,cook islands,0,0,6,0,2018
tonga,cook islands,0,0,1,0,2018
fiji,new zealand,0,0,0,10,2018
papua new guinea,fiji,0,0,1,5,2018
new zealand,new caledonia,0,1,8,0,2018
papua new guinea,new caledonia,0,1,7,1,2018
fiji,new zealand,0,0,0,8,2018
kazakhstan,wales,1,0,0,1,2017
england,russia,1,0,6,0,2017
kazakhstan,bosnia and herzegovina,1,0,0,2,2017
russia,wales,1,0,0,0,2017
wales,kazakhstan,1,0,1,0,2017
england,bosnia and herzegovina,1,0,4,0,2017
bosnia and herzegovina,wales,1,0,0,1,2017
england,kazakhstan,1,0,5,0,2017
bosnia and herzegovina,russia,1,0,1,6,2018
england,wales,1,0,0,0,2018
kazakhstan,russia,1,0,0,3,2018
bosnia and herzegovina,england,1,0,0,2,2018
wales,bosnia and herzegovina,1,0,1,0,2018
russia,england,1,0,1,3,2018
bosnia and herzegovina,kazakhstan,1,0,0,2,2018
wales,russia,1,0,3,0,2018
russia,kazakhstan,1,0,3,0,2018
wales,england,1,0,0,3,2018
russia,bosnia and herzegovina,1,0,3,0,2018
kazakhstan,england,1,0,0,6,2018
albania,switzerland,1,0,1,4,2017
poland,belarus,1,0,4,1,2017
belarus,albania,1,0,1,0,2017
switzerland,poland,1,0,2,1,2017
belarus,scotland,1,0,1,2,2017
scotland,albania,1,0,5,0,2017
albania,poland,1,0,1,4,2017
switzerland,belarus,1,0,3,0,2017
switzerland,albania,1,0,5,1,2017
switzerland,scotland,1,0,1,0,2018
poland,albania,1,0,1,1,2018
albania,belarus,1,0,1,0,2018
scotland,poland,1,0,3,0,2018
scotland,belarus,1,0,2,1,2018
poland,scotland,1,0,2,3,2018
belarus,switzerland,1,0,0,5,2018
scotland,switzerland,1,0,2,1,2018
belarus,poland,1,0,1,4,2018
poland,switzerland,1,0,0,0,2018
albania,scotland,1,0,1,2,2018
norway,northern ireland,1,0,4,1,2017
norway,slovakia,1,0,6,1,2017
northern ireland,ireland,1,0,0,2,2017
slovakia,ireland,1,0,0,2,2017
netherlands,norway,1,0,1,0,2017
slovakia,netherlands,1,0,0,5,2017
slovakia,northern ireland,1,0,1,3,2017
netherlands,ireland,1,0,0,0,2017
ireland,slovakia,1,0,2,1,2018
netherlands,northern ireland,1,0,7,0,2018
ireland,netherlands,1,0,0,2,2018
northern ireland,norway,1,0,0,3,2018
ireland,norway,1,0,0,2,2018
northern ireland,netherlands,1,0,0,5,2018
norway,ireland,1,0,1,0,2018
netherlands,slovakia,1,0,1,0,2018
ireland,northern ireland,1,0,4,0,2018
slovakia,norway,1,0,0,4,2018
norway,netherlands,1,0,2,1,2018
northern ireland,slovakia,1,0,0,1,2018
netherlands,denmark,1,0,2,0,2018
denmark,netherlands,1,0,1,2,2018
belgium,switzerland,1,0,2,2,2018
switzerland,belgium,1,0,1,1,2018
netherlands,switzerland,1,0,3,0,2018
switzerland,netherlands,1,0,1,1,2018
ukraine,croatia,1,0,1,1,2017
hungary,denmark,1,0,1,6,2017
croatia,sweden,1,0,0,2,2017
hungary,croatia,1,0,2,2,2017
sweden,denmark,1,0,3,0,2017
croatia,denmark,1,0,0,4,2017
sweden,hungary,1,0,5,0,2017
hungary,ukraine,1,0,0,1,2017
croatia,ukraine,1,0,0,3,2018
hungary,sweden,1,0,1,4,2018
croatia,hungary,1,0,1,3,2018
denmark,ukraine,1,0,1,0,2018
sweden,croatia,1,0,4,0,2018
ukraine,denmark,1,0,1,5,2018
denmark,hungary,1,0,5,1,2018
ukraine,sweden,1,0,1,0,2018
sweden,ukraine,1,0,3,0,2018
denmark,croatia,1,0,1,1,2018
denmark,sweden,1,0,0,1,2018
ukraine,hungary,1,0,2,0,2018
faroe islands,czech republic,1,0,0,8,2017
germany,slovenia,1,0,6,0,2017
iceland,faroe islands,1,0,8,0,2017
czech republic,germany,1,0,0,1,2017
germany,iceland,1,0,2,3,2017
slovenia,czech republic,1,0,0,4,2017
germany,faroe islands,1,0,11,0,2017
czech republic,iceland,1,0,1,1,2017
slovenia,faroe islands,1,0,5,0,2017
slovenia,iceland,1,0,0,2,2018
germany,czech republic,1,0,4,0,2018
slovenia,germany,1,0,0,4,2018
faroe islands,iceland,1,0,0,5,2018
faroe islands,slovenia,1,0,0,4,2018
iceland,slovenia,1,0,2,0,2018
czech republic,faroe islands,1,0,4,1,2018
czech republic,slovenia,1,0,2,0,2018
iceland,germany,1,0,0,2,2018
iceland,czech republic,1,0,1,1,2018
faroe islands,germany,1,0,0,8,2018
italy,moldova,1,0,5,0,2017
romania,italy,1,0,0,1,2017
belgium,moldova,1,0,12,0,2017
belgium,romania,1,0,3,2,2017
italy,romania,1,0,3,0,2017
portugal,belgium,1,0,0,1,2017
portugal,moldova,1,0,8,0,2017
romania,moldova,1,0,3,1,2017
portugal,italy,1,0,0,1,2017
moldova,italy,1,0,1,3,2018
belgium,portugal,1,0,1,1,2018
italy,belgium,1,0,2,1,2018
moldova,romania,1,0,0,0,2018
italy,portugal,1,0,3,0,2018
moldova,belgium,1,0,0,7,2018
romania,portugal,1,0,1,1,2018
moldova,portugal,1,0,0,7,2018
romania,belgium,1,0,0,1,2018
belgium,italy,1,0,2,1,2018
portugal,romania,1,0,5,1,2018
serbia,austria,1,0,0,4,2017
serbia,israel,1,0,2,0,2017
finland,serbia,1,0,1,0,2017
israel,spain,1,0,0,6,2017
austria,israel,1,0,2,0,2017
serbia,spain,1,0,1,2,2017
finland,israel,1,0,4,0,2017
spain,austria,1,0,4,0,2017
israel,finland,1,0,0,0,2018
austria,serbia,1,0,1,1,2018
finland,spain,1,0,0,2,2018
israel,serbia,1,0,0,1,2018
austria,spain,1,0,0,1,2018
spain,israel,1,0,2,0,2018
finland,austria,1,0,0,2,2018
serbia,finland,1,0,0,2,2018
israel,austria,1,0,0,6,2018
spain,finland,1,0,5,1,2018
austria,finland,1,0,4,1,2018
spain,serbia,1,0,3,0,2018
sweden,south africa,0,0,1,0,2016
brazil,china,1,0,3,0,2016
united states,new zealand,0,0,2,0,2016
canada,australia,0,0,2,0,2016
zimbabwe,germany,0,0,1,6,2016
france,colombia,0,0,4,0,2016
canada,zimbabwe,0,0,3,1,2016
germany,australia,0,0,2,2,2016
colombia,new zealand,0,0,0,1,2016
united states,france,0,0,1,0,2016
south africa,china,0,0,0,2,2016
brazil,sweden,1,0,5,1,2016
australia,zimbabwe,0,0,6,1,2016
new zealand,france,0,0,0,3,2016
south africa,brazil,0,1,0,0,2016
germany,canada,0,0,1,2,2016
colombia,united states,0,0,2,2,2016
china,sweden,0,0,0,0,2016
united states,sweden,0,0,1,1,2016
canada,france,0,0,1,0,2016
china,germany,0,0,0,1,2016
brazil,australia,1,0,0,0,2016
brazil,sweden,1,0,0,0,2016
canada,germany,0,0,0,2,2016
brazil,canada,1,0,1,2,2016
sweden,germany,0,0,1,2,2016
england,brazil,0,0,2,1,2019
united states,japan,1,0,2,2,2019
brazil,japan,0,0,1,3,2019
united states,england,1,0,2,2,2019
japan,england,0,0,0,3,2019
united states,brazil,1,0,1,0,2019
england,france,0,0,4,1,2018
united states,germany,1,0,1,0,2018
united states,france,1,0,1,1,2018
germany,england,0,0,2,2,2018
france,germany,0,0,3,0,2018
united states,england,1,0,1,0,2018
england,france,0,0,1,2,2017
united states,germany,1,0,1,0,2017
france,germany,0,0,0,0,2017
united states,england,1,0,0,1,2017
germany,england,0,0,1,0,2017
united states,france,1,0,0,3,2017
argentina,south korea,0,0,0,5,2019
australia,new zealand,1,0,2,0,2019
argentina,new zealand,0,0,0,2,2019
australia,south korea,1,0,4,1,2019
south korea,new zealand,0,0,2,0,2019
australia,argentina,1,0,3,0,2019
netherlands,norway,1,0,1,0,2017
denmark,belgium,0,0,1,0,2017
norway,belgium,0,0,0,2,2017
netherlands,denmark,1,0,1,0,2017
belgium,netherlands,0,1,1,2,2017
norway,denmark,0,0,0,1,2017
italy,russia,0,0,1,2,2017
germany,sweden,0,0,0,0,2017
sweden,russia,0,0,2,0,2017
germany,italy,0,0,2,1,2017
russia,germany,0,0,0,2,2017
sweden,italy,0,0,2,3,2017
austria,switzerland,0,0,1,0,2017
france,iceland,0,0,1,0,2017
iceland,switzerland,0,0,1,2,2017
france,austria,0,0,1,1,2017
switzerland,france,0,0,1,1,2017
iceland,austria,0,0,0,3,2017
spain,portugal,0,0,2,0,2017
england,scotland,0,0,6,0,2017
scotland,portugal,0,0,1,2,2017
england,spain,0,0,2,0,2017
portugal,england,0,0,1,2,2017
scotland,spain,0,0,1,0,2017
netherlands,sweden,1,0,2,0,2017
germany,denmark,0,0,1,2,2017
austria,spain,0,0,0,0,2017
england,france,0,0,1,0,2017
denmark,austria,0,0,0,0,2017
netherlands,england,1,0,3,0,2017
netherlands,denmark,1,0,4,2,2017
france,south korea,1,0,4,0,2019
germany,china,0,0,1,0,2019
spain,south africa,0,0,3,1,2019
norway,nigeria,0,0,3,0,2019
australia,italy,0,0,1,2,2019
brazil,jamaica,0,0,3,0,2019
england,scotland,0,0,2,1,2019
argentina,japan,0,0,0,0,2019
canada,cameroon,0,0,1,0,2019
new zealand,netherlands,0,0,0,1,2019
chile,sweden,0,0,0,2,2019
united states,thailand,0,0,13,0,2019
nigeria,south korea,0,0,2,0,2019
germany,spain,0,0,1,0,2019
france,norway,0,0,2,1,2019
australia,brazil,0,0,3,2,2019
south africa,china,0,0,0,1,2019
japan,scotland,0,0,2,1,2019
jamaica,italy,0,0,0,5,2019
england,argentina,0,0,1,0,2019
netherlands,cameroon,0,0,3,1,2019
canada,new zealand,0,0,2,0,2019
sweden,thailand,0,0,5,1,2019
united states,chile,0,0,3,0,2019
china,spain,0,0,0,0,2019
south africa,germany,0,0,0,4,2019
nigeria,france,0,0,0,1,2019
south korea,norway,0,0,1,2,2019
italy,brazil,0,0,0,1,2019
jamaica,australia,0,0,1,4,2019
japan,england,0,0,0,2,2019
scotland,argentina,0,0,3,3,2019
netherlands,canada,0,0,2,1,2019
cameroon,new zealand,0,0,2,1,2019
sweden,united states,0,0,0,2,2019
thailand,chile,0,0,0,2,2019
